arcgis_id,geography,year,month,region,resolution
LAD_2012_GB_BSC,LAD,2012,,GB,BSC
LAD_2013_GB_BSC,LAD,2013,,GB,BSC
LAD_DEC_2008_GB_BGC,LAD,2008,DEC,GB,BGC
LAD_DEC_2009_GB_BGC,LAD,2009,DEC,GB,BGC
LAD_DEC_2012_GB_BFC,LAD,2012,DEC,GB,BFC
LAD_DEC_2013_GB_BFC,LAD,2013,DEC,GB,BFC
LAD_DEC_2014_GB_BFC,LAD,2014,DEC,GB,BFC
LAD_Dec_2016_GB_BGC_2022,LAD,2016,Dec,GB,BGC
LAD_Dec_2017_Boundaries_GB_BFE_2022,LAD,2017,Dec,GB,BFE
LAD_Dec_2018_Boundaries_GB_BFC_2022,LAD,2018,Dec,GB,BFC
LAD_Dec_2018_Boundaries_UK_BFE_2022,LAD,2018,Dec,UK,BFE
LAD_Dec_2019_Boundaries_UK_BFC_2022,LAD,2019,Dec,UK,BFC
LAD_Dec_2020_UK_BFC_2022,LAD,2020,Dec,UK,BFC
LAD_DEC_2020_UK_BFE,LAD,2020,DEC,UK,BFE
LAD_DEC_2020_UK_BGC,LAD,2020,DEC,UK,BGC
LAD_Dec_2021_GB_BFC_2022,LAD,2021,Dec,GB,BFC
LAD_DEC_24_UK_BSC,LAD,24,DEC,UK,BSC
LAD_December_2018_Boundaries_UK_BGC_2022,LAD,2018,December,UK,BGC
LAD_May_2020_Boundaries_UK_BFE_2022,LAD,2020,May,UK,BFE
Local_Authority_Districts_April_2019_UK_BFC_2022,LAD,2019,April,UK,BFC
Local_Authority_Districts_April_2019_UK_BFE_2022,LAD,2019,April,UK,BFE
Local_Authority_Districts_April_2019_UK_BGC_2022,LAD,2019,April,UK,BGC
Local_Authority_Districts_Dec_2016_GB_BSC_2022,LAD,2016,Dec,GB,BSC
Local_Authority_Districts_December_2008_Boundaries_GB_BFC,LAD,2008,December,GB,BFC
Local_Authority_Districts_December_2008_Boundaries_GB_BFE,LAD,2008,December,GB,BFE
Local_Authority_Districts_December_2008_Boundaries_GB_BGC,LAD,2008,December,GB,BGC
Local_Authority_Districts_December_2011_GB_BFC_2022,LAD,2011,December,GB,BFC
Local_Authority_Districts_December_2011_GB_BFE_2022,LAD,2011,December,GB,BFE
Local_Authority_Districts_December_2011_GB_BGC_2022,LAD,2011,December,GB,BGC
Local_Authority_Districts_December_2012_GB_BFE,LAD,2012,December,GB,BFE
Local_Authority_Districts_December_2013_GB_BFE,LAD,2013,December,GB,BFE
Local_Authority_Districts_December_2014_GB_BFE,LAD,2014,December,GB,BFE
Local_Authority_Districts_December_2016_GB_BFC_2022,LAD,2016,December,GB,BFC
Local_Authority_Districts_December_2016_GB_BFE_2022,LAD,2016,December,GB,BFE
Local_Authority_Districts_December_2017_Boundaries_GB_BFC_2022,LAD,2017,December,GB,BFC
Local_Authority_Districts_December_2017_Boundaries_GB_BGC_2022,LAD,2017,December,GB,BGC
Local_Authority_Districts_December_2017_Boundaries_GB_BSC_2022,LAD,2017,December,GB,BSC
Local_Authority_Districts_December_2019_Boundaries_UK_BFE_2022,LAD,2019,December,UK,BFE
Local_Authority_Districts_December_2021_GB_BFE_2022,LAD,2021,December,GB,BFE
Local_Authority_Districts_December_2021_GB_BGC_2022,LAD,2021,December,GB,BGC
Local_Authority_Districts_December_2021_UK_BFC_2022,LAD,2021,December,UK,BFC
Local_Authority_Districts_December_2021_UK_BFE_2022,LAD,2021,December,UK,BFE
Local_Authority_Districts_December_2021_UK_BGC_2022,LAD,2021,December,UK,BGC
Local_Authority_Districts_December_2022_UK_BFC_V2,LAD,2022,December,UK,BFC
Local_Authority_Districts_December_2022_UK_BFE_V2,LAD,2022,December,UK,BFE
Local_Authority_Districts_December_2022_UK_BGC_V2,LAD,2022,December,UK,BGC
Local_Authority_Districts_December_2023_Boundaries_UK_BFC,LAD,2023,December,UK,BFC
Local_Authority_Districts_December_2023_Boundaries_UK_BFE,LAD,2023,December,UK,BFE
Local_Authority_Districts_December_2023_Boundaries_UK_BGC,LAD,2023,December,UK,BGC
Local_Authority_Districts_December_2023_Boundaries_UK_BSC,LAD,2023,December,UK,BSC
Local_Authority_Districts_December_2024_Boundaries_UK_BFC,LAD,2024,December,UK,BFC
Local_Authority_Districts_December_2024_Boundaries_UK_BFE,LAD,2024,December,UK,BFE
Local_Authority_Districts_December_2024_Boundaries_UK_BGC,LAD,2024,December,UK,BGC
Local_Authority_Districts_May_2021_UK_BFC_2022,LAD,2021,May,UK,BFC
Local_Authority_Districts_May_2021_UK_BFE_2022,LAD,2021,May,UK,BFE
Local_Authority_Districts_May_2021_UK_BGC_2022,LAD,2021,May,UK,BGC
Local_Authority_Districts_May_2022_UK_BFC_V3_2022,LAD,2022,May,UK,BFC
Local_Authority_Districts_May_2022_UK_BFE_V3_2022,LAD,2022,May,UK,BFE
Local_Authority_Districts_May_2022_UK_BGC_V3_2022,LAD,2022,May,UK,BGC
Local_Authority_Districts_May_2022_UK_BSC_V3_2022,LAD,2022,May,UK,BSC
Local_Authority_Districts_May_2023_UK_BFC_V2,LAD,2023,May,UK,BFC
Local_Authority_Districts_May_2023_UK_BFE_V2,LAD,2023,May,UK,BFE
Local_Authority_Districts_May_2023_UK_BGC_V2,LAD,2023,May,UK,BGC
Local_Authority_Districts_May_2024_Boundaries_UK_BFC,LAD,2024,May,UK,BFC
Local_Authority_Districts_May_2024_Boundaries_UK_BFE,LAD,2024,May,UK,BFE
Local_Authority_Districts_May_2024_Boundaries_UK_BGC,LAD,2024,May,UK,BGC
LAD_MAY_2025_UK_BFC,LAD,2025,MAY,UK,BFC
LAD_MAY_2025_UK_BFE,LAD,2025,MAY,UK,BFE
LAD_MAY_2025_UK_BGC,LAD,2025,MAY,UK,BGC
LAD_MAY_2025_UK_BSC,LAD,2025,MAY,UK,BSC
