arcgis_id,geography,year,month,region,resolution
BUA_APR_2024_EW_NC,BUA,2024,APR,EW,NC
BUA_DEC_2022_EW_NC,BUA,2022,DEC,EW,NC
BUA_MAR_2011_EW_NC_0dfbd108e33640d290c55d9639fa6a26,BUA,2011,MAR,EW,NC
BUASD_MAR_2011_EW_NC_92b13b457eaf4fdfb1ef156e8f948114,BUASD,2011,MAR,EW,NC
CAL_APR_2024_EN_BFC,CAL,2024,APR,EN,BFC
CAL_APR_2024_EN_BFE,CAL,2024,APR,EN,BFE
CAL_APR_2024_EN_BGC,CAL,2024,APR,EN,BGC
CAL_APR_2024_EN_BUC,CAL,2024,APR,EN,BUC
CAL_APR_2024_EN_NC,CAL,2024,APR,EN,NC
CAL_JUL_2023_EN_NC,CAL,2023,JUL,EN,NC
Cancer_Alliances_July_2023_Boundaries_EN_BFC,CAL,2023,JUL,EN,BFC
Cancer_Alliances_July_2023_Boundaries_EN_BFE,CAL,2023,JUL,EN,BFE
Cancer_Alliances_July_2023_Boundaries_EN_BGC,CAL,2023,JUL,EN,BGC
Cancer_Alliances_July_2023_Boundaries_EN_BUC,CAL,2023,JUL,EN,BUC
Cancer_Alliances_April_2020_FCB_EN_2022,CAL,2020,APR,EN,BFC
Cancer_Alliances_April_2020_FEB_EN_2022,CAL,2020,APR,EN,BFE
Cancer_Alliances_April_2020_GCB_EN_2022,CAL,2020,APR,EN,BGC
Cancer_Alliances_April_2020_UGCB_EN_2022,CAL,2020,APR,EN,BUC
Cancer_Alliances_July_2019_FCB_EN_2022,CAL,2019,JUL,EN,BFC
Cancer_Alliances_July_2019_FEB_EN_2022,CAL,2019,JUL,EN,BFE
Cancer_Alliances_July_2019_GCB_EN_2022,CAL,2019,JUL,EN,BGC
CAUTH_MAY_2025_EN_BFC,CAUTH,2025,MAY,EN,BFC
CAUTH_MAY_2025_EN_BFE,CAUTH,2025,MAY,EN,BFE
CAUTH_MAY_2025_EN_BGC,CAUTH,2025,MAY,EN,BGC
CAUTH_MAY_2025_EN_BSC,CAUTH,2025,MAY,EN,BSC
CAUTH_MAY_2025_EN_BUC,CAUTH,2025,MAY,EN,BUC
CAUTH_MAY_2025_EN_NC,CAUTH,2025,MAY,EN,NC
CAUTH_MAY_2024_EN_NC,CAUTH,2024,MAY,EN,NC
Combined_Authorities_May_2024_Boundaries_EN_BFC,CAUTH,2024,MAY,EN,BFC
CAUTH_DEC_2023_EN_NC,CAUTH,2023,DEC,EN,NC
Combined_Authorities_December_2023_Boundaries_EN_BFC,CAUTH,2023,DEC,EN,BFC
Combined_Authorities_December_2023_Boundaries_EN_BFE,CAUTH,2023,DEC,EN,BFE
Combined_Authorities_December_2023_Boundaries_EN_BGC,CAUTH,2023,DEC,EN,BGC
Combined_Authorities_December_2023_Boundaries_EN_BSC,CAUTH,2023,DEC,EN,BSC
Combined_Authorities_December_2023_Boundaries_EN_BUC,CAUTH,2023,DEC,EN,BUC
Combined_Authorities_May_2023_Boundaries_EN_BFE,CAUTH,2023,MAY,EN,BFE
Combined_Authorities_May_2023_Boundaries_EN_BGC,CAUTH,2023,MAY,EN,BGC
Combined_Authorities_May_2023_Boundaries_EN_BSC,CAUTH,2023,MAY,EN,BSC
Combined_Authorities_May_2023_Boundaries_EN_BUC,CAUTH,2023,MAY,EN,BUC
CAUTH_DEC_2022_EN_NC,CAUTH,2022,DEC,EN,NC
