id,name,sourceName
NM_1_1,Jobseeker's Allowance with rates and proportions,jsa
NM_2_1,claimant count - age and duration,jsa
NM_4_1,Jobseeker's Allowance by age and duration,jsa
NM_5_1,claimant count denominators - historical workforce series,jsa
NM_6_1,claimant count - occupation,jsa
NM_7_1,"claimant count - occupation, age and duration",jsa
NM_8_1,"Jobseeker's Allowance off-flows by reason, age and duration",jsa
NM_9_1,Jobseeker's Allowance flows by age and duration,jsa
NM_10_1,Jobseeker's Allowance flows,jsa
NM_11_1,Claimant Count - seasonally adjusted,cc
NM_12_1,benefit claimants - employment and support allowance for small areas,dwp_wpls
NM_17_1,annual population survey,aps
NM_17_5,annual population survey (variables (percentages)),aps
NM_18_1,Jobseeker's Allowance by age and duration with proportions,jsa
NM_19_1,vacancies - seasonally adjusted series,vacs
NM_20_1,vacancies by industry,vacs
NM_21_1,vacancies by industry with duration analysis,vacs
NM_22_1,vacancies by occupation,vacs
NM_23_1,vacancies by occupation with duration analysis,vacs
NM_24_1,vacancies - summary analysis,vacs
NM_29_1,vat registrations/deregistrations by industry,vat
NM_30_1,annual survey of hours and earnings - resident analysis,ashe
NM_31_1,Population estimates - local authority based by five year age band,pest
NM_34_1,vat registrations/deregistrations by industry - 1968 SIC,vat
NM_35_1,1991 census - local base statistics,census_1991
NM_37_1,1991 census - special workplace statistics,census_1991
NM_38_1,1991 census - small area statistics,census_1991
NM_39_1,Jobseeker's Allowance flows - seasonally adjusted,jsa
NM_44_1,vacancies by occupation - SOC 2000,vacs
NM_45_1,Jobseeker's Allowance - seasonally adjusted,
NM_47_1,local area labour force survey,aps
NM_47_5,local area labour force survey (variables (percentages)),aps
NM_50_1,vacancies - notified by industry,vacs
NM_51_1,vacancies - notified by occupation,vacs
NM_52_1,claimant count denominators - current residents / workforce series,jsa
NM_57_1,jobs density,jd
NM_58_1,2001 census - standard tables,census_2001
NM_59_1,labour force survey - national and regional - headline indicators (seasonally adjusted),aps
NM_62_1,2001 census - census area statistics,census_2001
NM_62_5,2001 census - census area statistics (create your own variables (percentages)),census_2001
NM_63_1,1991 census - small area statistics (NI data),census_1991
NM_64_1,Jobseeker's Allowance by occupation,jsa
NM_65_1,"Jobseeker's Allowance by occupation, age and duration",jsa
NM_66_1,1981 census - small area statistics,census_1981
NM_67_1,1981 census - special workplace statistics,census_1981
